ID;Fecha;Usuario;Acción;Entidad;Detalle
56128;"4/9/2026, 3:14:10 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-1000"",""total"":13257.85,""items"":1}"
56127;"4/9/2026, 3:14:10 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0999"",""total"":29494.69,""items"":1}"
56126;"4/9/2026, 3:14:10 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0998"",""total"":27957.51,""items"":1}"
56125;"4/9/2026, 3:14:10 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0997"",""total"":1766.23,""items"":1}"
56124;"4/9/2026, 3:14:10 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0996"",""total"":7164.69,""items"":1}"
56123;"4/9/2026, 3:14:10 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0995"",""total"":46415.26,""items"":1}"
56122;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0994"",""total"":32158.94,""items"":1}"
56121;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0993"",""total"":4875.07,""items"":1}"
56120;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0992"",""total"":78868.88,""items"":1}"
56119;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0991"",""total"":32311.51,""items"":1}"
56118;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0990"",""total"":41199.14,""items"":1}"
56117;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0989"",""total"":43264.05,""items"":1}"
56116;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0988"",""total"":99222.58,""items"":1}"
56115;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0987"",""total"":29938.76,""items"":1}"
56114;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0986"",""total"":48762.42,""items"":1}"
56113;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0985"",""total"":1005.23,""items"":1}"
56112;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0984"",""total"":24927.81,""items"":1}"
56111;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0983"",""total"":29837.02,""items"":1}"
56110;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0982"",""total"":51754.39,""items"":1}"
56109;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0981"",""total"":75606.47,""items"":1}"
56108;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0980"",""total"":34446.76,""items"":1}"
56107;"4/9/2026, 3:14:09 p. m.";Cajero;quote:created;Sale;"{""saleNumber"":""COT-2026-0979"",""total"":96118.9,""items"":1}"
