#;Cajero;Apertura;Cierre;Estado;Efectivo Inicial;Efectivo Esperado;Efectivo Final;Diferencia;Total Ventas
16200;Cajero;"4/9/2026, 3:13:50 p. m.";"4/9/2026, 3:13:50 p. m.";CLOSED;100000;100000;0;-100000;0
16199;Cajero;"4/9/2026, 3:13:50 p. m.";"4/9/2026, 3:13:50 p. m.";CLOSED;100000;100000;0;-100000;0
16198;Cajero;"4/9/2026, 3:13:50 p. m.";"4/9/2026, 3:13:50 p. m.";CLOSED;100000;100000;0;-100000;0
16197;Cajero;"4/9/2026, 3:13:50 p. m.";"4/9/2026, 3:13:50 p. m.";CLOSED;100000;100000;0;-100000;0
16196;Cajero;"4/9/2026, 3:13:50 p. m.";"4/9/2026, 3:13:50 p. m.";CLOSED;100000;100000;0;-100000;0
16195;Cajero;"4/9/2026, 3:13:50 p. m.";"4/9/2026, 3:13:50 p. m.";CLOSED;100000;100000;0;-100000;0
16194;Cajero;"4/9/2026, 3:13:50 p. m.";"4/9/2026, 3:13:50 p. m.";CLOSED;100000;100000;0;-100000;0
16193;Cajero;"4/9/2026, 3:13:50 p. m.";"4/9/2026, 3:13:50 p. m.";CLOSED;100000;100000;0;-100000;0
16192;Cajero;"4/9/2026, 3:13:50 p. m.";"4/9/2026, 3:13:50 p. m.";CLOSED;100000;100000;0;-100000;0
16191;Cajero;"4/9/2026, 3:13:50 p. m.";"4/9/2026, 3:13:50 p. m.";CLOSED;100000;100000;0;-100000;0
16190;Cajero;"4/9/2026, 3:13:50 p. m.";"4/9/2026, 3:13:50 p. m.";CLOSED;100000;100000;0;-100000;0
16189;Cajero;"4/9/2026, 3:13:50 p. m.";"4/9/2026, 3:13:50 p. m.";CLOSED;100000;100000;0;-100000;0
16188;Cajero;"4/9/2026, 3:13:50 p. m.";"4/9/2026, 3:13:50 p. m.";CLOSED;100000;100000;0;-100000;0
16187;Cajero;"4/9/2026, 3:13:50 p. m.";"4/9/2026, 3:13:50 p. m.";CLOSED;100000;100000;0;-100000;0
16186;Cajero;"4/9/2026, 3:13:50 p. m.";"4/9/2026, 3:13:50 p. m.";CLOSED;100000;100000;0;-100000;0
16185;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16184;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16183;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16182;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16181;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16180;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16179;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16178;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16177;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16176;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16175;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16174;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16173;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16172;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16171;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16170;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16169;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16168;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16167;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16166;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16165;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16164;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16163;Cajero;"4/9/2026, 3:13:49 p. m.";"4/9/2026, 3:13:49 p. m.";CLOSED;100000;100000;0;-100000;0
16162;Cajero;"4/9/2026, 3:13:48 p. m.";"4/9/2026, 3:13:48 p. m.";CLOSED;100000;100000;0;-100000;0
16161;Cajero;"4/9/2026, 3:13:48 p. m.";"4/9/2026, 3:13:48 p. m.";CLOSED;100000;100000;0;-100000;0
16160;Cajero;"4/9/2026, 3:13:48 p. m.";"4/9/2026, 3:13:48 p. m.";CLOSED;100000;100000;0;-100000;0
16159;Cajero;"4/9/2026, 3:13:48 p. m.";"4/9/2026, 3:13:48 p. m.";CLOSED;100000;100000;0;-100000;0
16158;Cajero;"4/9/2026, 3:13:48 p. m.";"4/9/2026, 3:13:48 p. m.";CLOSED;100000;100000;0;-100000;0
16157;Cajero;"4/9/2026, 3:13:48 p. m.";"4/9/2026, 3:13:48 p. m.";CLOSED;100000;100000;0;-100000;0
16156;Cajero;"4/9/2026, 3:13:48 p. m.";"4/9/2026, 3:13:48 p. m.";CLOSED;100000;100000;0;-100000;0
16155;Cajero;"4/9/2026, 3:13:48 p. m.";"4/9/2026, 3:13:48 p. m.";CLOSED;100000;100000;0;-100000;0
16154;Cajero;"4/9/2026, 3:13:48 p. m.";"4/9/2026, 3:13:48 p. m.";CLOSED;100000;100000;0;-100000;0
16153;Cajero;"4/9/2026, 3:13:48 p. m.";"4/9/2026, 3:13:48 p. m.";CLOSED;100000;100000;0;-100000;0
16152;Cajero;"4/9/2026, 3:13:48 p. m.";"4/9/2026, 3:13:48 p. m.";CLOSED;100000;100000;0;-100000;0
16151;Cajero;"4/9/2026, 3:13:48 p. m.";"4/9/2026, 3:13:48 p. m.";CLOSED;100000;100000;0;-100000;0
16150;Cajero;"4/9/2026, 3:13:48 p. m.";"4/9/2026, 3:13:48 p. m.";CLOSED;100000;100000;0;-100000;0
16149;Cajero;"4/9/2026, 3:13:48 p. m.";"4/9/2026, 3:13:48 p. m.";CLOSED;100000;100000;0;-100000;0
16148;Cajero;"4/9/2026, 3:13:48 p. m.";"4/9/2026, 3:13:48 p. m.";CLOSED;100000;100000;0;-100000;0
16147;Cajero;"4/9/2026, 3:13:48 p. m.";"4/9/2026, 3:13:48 p. m.";CLOSED;100000;100000;0;-100000;0
16146;Cajero;"4/9/2026, 3:13:48 p. m.";"4/9/2026, 3:13:48 p. m.";CLOSED;100000;100000;0;-100000;0
16145;Cajero;"4/9/2026, 3:13:48 p. m.";"4/9/2026, 3:13:48 p. m.";CLOSED;100000;100000;0;-100000;0
16144;Cajero;"4/9/2026, 3:13:48 p. m.";"4/9/2026, 3:13:48 p. m.";CLOSED;100000;100000;0;-100000;0
16143;Cajero;"4/9/2026, 3:13:48 p. m.";"4/9/2026, 3:13:48 p. m.";CLOSED;100000;100000;0;-100000;0
16142;Cajero;"4/9/2026, 3:13:48 p. m.";"4/9/2026, 3:13:48 p. m.";CLOSED;100000;100000;0;-100000;0
16141;Cajero;"4/9/2026, 3:13:47 p. m.";"4/9/2026, 3:13:47 p. m.";CLOSED;100000;100000;0;-100000;0
16140;Cajero;"4/9/2026, 3:13:47 p. m.";"4/9/2026, 3:13:47 p. m.";CLOSED;100000;100000;0;-100000;0
16139;Cajero;"4/9/2026, 3:13:47 p. m.";"4/9/2026, 3:13:47 p. m.";CLOSED;100000;100000;0;-100000;0
16138;Cajero;"4/9/2026, 3:13:47 p. m.";"4/9/2026, 3:13:47 p. m.";CLOSED;100000;100000;0;-100000;0
16137;Cajero;"4/9/2026, 3:13:47 p. m.";"4/9/2026, 3:13:47 p. m.";CLOSED;100000;100000;0;-100000;0
16136;Cajero;"4/9/2026, 3:13:47 p. m.";"4/9/2026, 3:13:47 p. m.";CLOSED;100000;100000;0;-100000;0
16135;Cajero;"4/9/2026, 3:13:47 p. m.";"4/9/2026, 3:13:47 p. m.";CLOSED;100000;100000;0;-100000;0
