Código;Código Barras;Nombre;Categoría;Precio;Costo;Stock;Stock Mínimo;Stock Crítico;IVA %;Unidad;Activo;Ubicación;Vencimiento
NEW-1788552193797-0-0;7702770182;Bulk 0-0;Nueva Cat;33465.65;11453.18;422;5;2;0;UNIT;Sí;;
NEW-1788552193797-0-1;;Bulk 0-1;Snacks;30684.45;17154.78;158;5;2;0;UNIT;Sí;;
NEW-1788552193797-0-4;7704837249;Bulk 0-4;Snacks;46126.62;10880.94;157;5;2;0;UNIT;Sí;;
NEW-1788552193797-0-5;7702483463;Bulk 0-5;Snacks;8215.29;8428.69;204;5;2;0;UNIT;Sí;;
NEW-1788552193797-0-6;7703036322;Bulk 0-6;Nueva Cat;33782.2;17769.43;100;5;2;0;UNIT;Sí;;
NEW-1788552193806-1-0;;Bulk 1-0;Lacteos;48160.51;10490.55;466;5;2;0;UNIT;Sí;;
NEW-1788552193858-10-0;;Bulk 10-0;Lacteos;8491.63;1573.16;123;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552193858-10-3;;Bulk 10-3;Nueva Cat;13334;24938.87;236;5;2;0;UNIT;Sí;;
NEW-1788552194103-100-0;7701243851;Bulk 100-0;Bebidas;27588.5;6060.67;326;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194104-101-0;7701366818;Bulk 101-0;Nueva Cat;2545.94;2478.38;419;5;2;0;UNIT;Sí;;
NEW-1788552194104-101-2;7702909450;Bulk 101-2;Snacks;6670.51;21815.58;356;5;2;0;UNIT;Sí;;
NEW-1788552194104-101-3;;Bulk 101-3;Snacks;25604.01;4350.52;194;5;2;0;UNIT;Sí;;
NEW-1788552194104-101-5;7706273638;Bulk 101-5;Bebidas;25843.98;26929.53;47;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194106-102-2;7703453393;Bulk 102-2;Lacteos;23255.48;11265.48;143;5;2;0;UNIT;Sí;;
NEW-1788552194106-102-5;7705258888;Bulk 102-5;Nueva Cat;49325.71;13057.66;47;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194108-103-2;;Bulk 103-2;Lacteos;19879.15;26850.05;45;5;2;0;UNIT;Sí;;
NEW-1788552194108-103-3;7708822085;Bulk 103-3;Nueva Cat;9313.5;13910.99;45;5;2;0;UNIT;Sí;;
NEW-1788552194108-103-4;7702956463;Bulk 103-4;Lacteos;35112.55;4028.88;142;5;2;0;UNIT;Sí;;
NEW-1788552194108-103-9;;Bulk 103-9;Snacks;44427.98;1371.55;510;5;2;0;UNIT;Sí;;
NEW-1788552194111-104-3;;Bulk 104-3;Nueva Cat;1151.91;13880.1;145;5;2;0;UNIT;Sí;;
NEW-1788552194112-105-2;7702906692;Bulk 105-2;Snacks;45358.74;4673.33;212;5;2;0;UNIT;Sí;;
NEW-1788552194112-105-3;;Bulk 105-3;Nueva Cat;22076.81;5733.27;486;5;2;0;UNIT;Sí;;
NEW-1788552194112-105-4;;Bulk 105-4;Snacks;31991.26;14971.83;372;5;2;0;UNIT;Sí;;
NEW-1788552194112-105-5;7704885148;Bulk 105-5;Bebidas;15558.17;11055.97;310;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194112-105-6;7708029711;Bulk 105-6;Nueva Cat;47963.46;24296.24;248;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194112-105-7;7709691742;Bulk 105-7;Nueva Cat;4536.5;337.89;409;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194112-105-8;7706325514;Bulk 105-8;Lacteos;4730.59;16977.73;164;5;2;0;UNIT;Sí;;
NEW-1788552194119-106-2;7702729119;Bulk 106-2;Bebidas;44642.28;310.59;274;5;2;0;UNIT;Sí;;
NEW-1788552194119-106-3;7708286042;Bulk 106-3;Lacteos;45934.44;8975.79;70;5;2;0;UNIT;Sí;;
NEW-1788552194119-106-4;7704967168;Bulk 106-4;Bebidas;26190.64;16127.86;149;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194119-106-5;7706870478;Bulk 106-5;Bebidas;45492.94;16813.65;228;5;2;0;UNIT;Sí;;
NEW-1788552194119-106-6;;Bulk 106-6;Bebidas;45358.66;5343.97;323;5;2;0;UNIT;Sí;;
NEW-1788552194122-107-0;7702909233;Bulk 107-0;Lacteos;18355.2;26217.77;225;5;2;0;UNIT;Sí;;
NEW-1788552194122-107-3;7706780593;Bulk 107-3;Nueva Cat;45911.73;4433.66;120;5;2;0;UNIT;Sí;;
NEW-1788552194125-108-0;7707533851;Bulk 108-0;Nueva Cat;28391.54;7801.13;350;5;2;0;UNIT;Sí;;
NEW-1788552194125-108-2;7703473904;Bulk 108-2;Nueva Cat;29329.02;28479.96;485;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194126-109-2;7702597365;Bulk 109-2;Lacteos;5741.87;19551.25;144;5;2;0;UNIT;Sí;;
NEW-1788552194126-109-3;7704923124;Bulk 109-3;Bebidas;5128.53;18455.29;483;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552193864-11-0;7708064822;Bulk 11-0;Snacks;36401.34;28956.32;278;5;2;0;UNIT;Sí;;
NEW-1788552193864-11-2;7707238878;Bulk 11-2;Nueva Cat;16112.6;17979.44;127;5;2;0;UNIT;Sí;;
NEW-1788552193864-11-3;7707542212;Bulk 11-3;Lacteos;2036.19;22963.32;461;5;2;0;UNIT;Sí;;
NEW-1788552194128-111-1;7709805533;Bulk 111-1;Snacks;7085.3;29068.83;285;5;2;0;UNIT;Sí;;
NEW-1788552194128-111-2;;Bulk 111-2;Snacks;18139.08;8454.11;142;5;2;0;UNIT;Sí;;
NEW-1788552194128-111-3;7702718918;Bulk 111-3;Bebidas;29082.16;21181.71;220;5;2;0;UNIT;Sí;;
NEW-1788552194131-112-0;7708362926;Bulk 112-0;Snacks;27163.6;14936.26;84;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194131-112-1;;Bulk 112-1;Nueva Cat;42319.99;16384.75;266;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194131-112-2;7704641207;Bulk 112-2;Bebidas;42104.07;10761.49;92;5;2;0;UNIT;Sí;;
NEW-1788552194155-113-1;7704944499;Bulk 113-1;Nueva Cat;15198.67;21425.58;112;5;2;0;UNIT;Sí;;
NEW-1788552194155-113-3;7704187468;Bulk 113-3;Lacteos;24733.01;7621.2;483;5;2;0;UNIT;Sí;;
NEW-1788552194157-114-0;7703753649;Bulk 114-0;Snacks;23872.24;13664.04;285;5;2;0;UNIT;Sí;;
NEW-1788552194157-114-2;7708753368;Bulk 114-2;Snacks;29623.59;7490.17;67;5;2;0;UNIT;Sí;;
NEW-1788552194160-115-1;7709579479;Bulk 115-1;Lacteos;38885.03;12651.8;307;5;2;0;UNIT;Sí;;
NEW-1788552194160-115-2;7701042497;Bulk 115-2;Lacteos;6949.35;9636.93;454;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194160-115-3;7704173204;Bulk 115-3;Snacks;39278.66;313.64;325;5;2;0;UNIT;Sí;;
NEW-1788552194162-116-1;;Bulk 116-1;Nueva Cat;49762.22;18855.9;46;5;2;0;UNIT;Sí;;
NEW-1788552194162-116-2;7709067895;Bulk 116-2;Bebidas;9424.09;13796.93;253;5;2;0;UNIT;Sí;;
NEW-1788552194162-116-4;7709504964;Bulk 116-4;Snacks;36404.16;2343.2;378;5;2;0;UNIT;Sí;;
NEW-1788552194162-116-8;;Bulk 116-8;Lacteos;29478.73;27907.41;449;5;2;0;UNIT;Sí;;
NEW-1788552194168-117-0;7707380478;Bulk 117-0;Nueva Cat;24092.26;11624.18;237;5;2;0;UNIT;Sí;;
NEW-1788552194168-117-2;;Bulk 117-2;Lacteos;41776.68;5149.09;381;5;2;0;UNIT;Sí;;
NEW-1788552194168-117-4;7704321140;Bulk 117-4;Nueva Cat;21325.14;14331.29;202;5;2;0;UNIT;Sí;;
NEW-1788552194168-117-5;;Bulk 117-5;Bebidas;14435.43;538.83;382;5;2;0;UNIT;Sí;;
NEW-1788552194172-118-0;7704107461;Bulk 118-0;Snacks;37823.99;18028.51;349;5;2;0;UNIT;Sí;;
NEW-1788552194172-118-2;;Bulk 118-2;Lacteos;45756.55;26165.27;62;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194172-118-3;7703751462;Bulk 118-3;Bebidas;5808.59;4682.43;462;5;2;0;UNIT;Sí;;
NEW-1788552194172-118-7;;Bulk 118-7;Nueva Cat;24114.16;10767.15;46;5;2;0;UNIT;Sí;;
NEW-1788552194172-118-8;7707872336;Bulk 118-8;Nueva Cat;21733.3;17380.21;180;5;2;0;UNIT;Sí;;
NEW-1788552193870-12-2;;Bulk 12-2;Lacteos;6023.28;15342.02;380;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552193870-12-3;7706773160;Bulk 12-3;Nueva Cat;26869.55;17294.19;54;5;2;0;UNIT;Sí;;
NEW-1788552194175-120-0;7703676129;Bulk 120-0;Nueva Cat;39846.33;29178.94;463;5;2;0;UNIT;Sí;;
NEW-1788552194177-121-0;;Bulk 121-0;Bebidas;25773.37;27068.07;431;5;2;0;UNIT;Sí;;
NEW-1788552194177-121-1;7702872160;Bulk 121-1;Nueva Cat;13564.18;21361.49;106;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194177-121-2;7701206309;Bulk 121-2;Nueva Cat;5156.83;18500.13;275;5;2;0;UNIT;Sí;;
NEW-1788552194177-121-3;7705825141;Bulk 121-3;Snacks;42690.75;27617.56;362;5;2;0;UNIT;Sí;;2026-12-31
NEW-1788552194177-121-5;7707469670;Bulk 121-5;Lacteos;24535.51;6150.35;98;5;2;0;UNIT;Sí;;
NEW-1788552194177-121-6;7708934843;Bulk 121-6;Snacks;35342.66;29046.48;295;5;2;0;UNIT;Sí;;
