Código;Nombre;Categoría;Stock;Costo Unit.;Precio;Costo Total
STRESS-1788552188477-535;Stress Product 535;Snacks;10000917;48890.92;2724.08;488954032973.63995
STRESS-1788552188027-185;Stress Product 185;Snacks;844;32772.98;8009.38;27660395.12
STRESS-1788552189092-1038;Stress Product 1038;Snacks;576;47780.69;29995.18;27521677.44
STRESS-1788552190079-1783;Stress Product 1783;Bebidas;917;29584.73;98233.67;27129197.41
STRESS-1788552189064-1011;Stress Product 1011;Bebidas;778;33406.87;40037.32;25990544.860000003
STRESS-1788552188784-781;Stress Product 781;Snacks;513;48543.36;24995.25;24902743.68
STRESS-1788552187877-93;Stress Product 93;Snacks;898;27568.64;7904.01;24756638.72
STRESS-1788552188660-700;Stress Product 700;Bebidas;756;31056.11;52124.83;23478419.16
STRESS-1788552189378-1300;Stress Product 1300;Bebidas;985;23646.02;44847.02;23291329.7
STRESS-1788552188186-289;Stress Product 289;Lacteos;916;24416.09;43125.38;22365138.44
STRESS-1788552190221-1914;Stress Product 1914;Bebidas;586;36172.76;4900.77;21197237.36
STRESS-1788552188127-261;Stress Product 261;Snacks;622;32060.44;43637.7;19941593.68
STRESS-1788552188431-494;Stress Product 494;Bebidas;598;32998.08;20335.63;19732851.84
STRESS-1788552187850-71;Stress Product 71;Bebidas;986;15323.16;28692.79;15108635.76
NEW-1788552193850-9-6;Bulk 9-6;Snacks;530;27178.66;21337.44;14404689.8
NEW-1788552195610-542-2;Bulk 542-2;Nueva Cat;469;29746.5;27944.02;13951108.5
STRESS-1788552188774-773;Stress Product 773;Snacks;947;14156.17;24095.25;13405892.99
NEW-1788552196209-724-2;Bulk 724-2;Snacks;472;27893.39;18384.27;13165680.08
NEW-1788552196849-912-3;Bulk 912-3;Bebidas;479;26538.36;24329.73;12711874.44
STRESS-1788552189824-1603;Stress Product 1603;Bebidas;265;47735.22;20117.98;12649833.3
NEW-1788552196811-905-1;Bulk 905-1;Bebidas;532;22607.3;6858.33;12027083.6
NEW-1788552195355-460-7;Bulk 460-7;Nueva Cat;428;26839.24;9460.44;11487194.72
NEW-1788552197005-959-8;Bulk 959-8;Nueva Cat;439;24835.2;2594.43;10902652.8
NEW-1788552195219-421-3;Bulk 421-3;Nueva Cat;372;28156.1;49531.85;10474069.2
STRESS-1788552188674-714;Stress Product 714;Bebidas;379;27583.49;97296.08;10454142.71
STRESS-1788552189474-1391;Stress Product 1391;Lacteos;895;11570.58;71397.81;10355669.1
NEW-1788552194026-68-8;Bulk 68-8;Nueva Cat;492;20874.46;32789.14;10270234.32
NEW-1788552195226-423-2;Bulk 423-2;Bebidas;378;26966.61;36153;10193378.58
NEW-1788552193946-41-0;Bulk 41-0;Lacteos;490;20242.89;39421.01;9919016.1
NEW-1788552196693-868-2;Bulk 868-2;Nueva Cat;366;26766.53;17277.27;9796549.98
STRESS-1788552189079-1024;Stress Product 1024;Bebidas;741;12038.31;31495.03;8920387.709999999
NEW-1788552196773-890-2;Bulk 890-2;Lacteos;365;24358.94;34022.08;8891013.1
NEW-1788552195491-502-0;Bulk 502-0;Bebidas;274;29717.94;46352.4;8142715.56
NEW-1788552194619-272-8;Bulk 272-8;Lacteos;276;29349.61;30693.7;8100492.36
NEW-1788552193816-4-2;Bulk 4-2;Nueva Cat;438;18070.78;22257.16;7915001.64
STRESS-1788552188377-448;Stress Product 448;Bebidas;368;20485.28;60518.43;7538583.039999999
