N° Factura;Fecha;Vendedor;Cliente;Subtotal;IVA;Descuento;Delivery;Total;Método Pago;Estado
V-2026-7700;"4/9/2026, 3:13:27 p. m.";Cajero;;1616.82;0;0;0;1616.82;"efectivo: $2.616,82";COMPLETED
V-2026-7699;"4/9/2026, 3:13:27 p. m.";Cajero;;64529.87;0;0;0;64529.87;"efectivo: $65.529,87";COMPLETED
V-2026-7698;"4/9/2026, 3:13:27 p. m.";Cajero;;12034.76;0;0;0;12034.76;"efectivo: $13.034,76";COMPLETED
V-2026-7697;"4/9/2026, 3:13:27 p. m.";Cajero;;3543.22;0;0;0;3543.22;"efectivo: $4.543,22";COMPLETED
V-2026-7696;"4/9/2026, 3:13:27 p. m.";Cajero;;1318.46;0;0;0;1318.46;"efectivo: $2.318,46";COMPLETED
V-2026-7695;"4/9/2026, 3:13:27 p. m.";Cajero;;21434.16;0;0;0;21434.16;"efectivo: $22.434,16";COMPLETED
V-2026-7694;"4/9/2026, 3:13:27 p. m.";Cajero;;32769.88;0;0;0;32769.88;"efectivo: $33.769,88";COMPLETED
V-2026-7693;"4/9/2026, 3:13:27 p. m.";Cajero;;32622.34;0;0;0;32622.34;"efectivo: $33.622,34";COMPLETED
V-2026-7692;"4/9/2026, 3:13:27 p. m.";Cajero;;20183.42;0;0;0;20183.42;"efectivo: $21.183,42";COMPLETED
V-2026-7691;"4/9/2026, 3:13:27 p. m.";Cajero;;92363.9;0;0;0;92363.9;"efectivo: $93.363,9";COMPLETED
V-2026-7690;"4/9/2026, 3:13:27 p. m.";Cajero;;27251.72;0;0;0;27251.72;"efectivo: $28.251,72";COMPLETED
V-2026-7689;"4/9/2026, 3:13:27 p. m.";Cajero;;86990.52;0;0;0;86990.52;"efectivo: $87.990,52";COMPLETED
V-2026-7688;"4/9/2026, 3:13:27 p. m.";Cajero;;17901.77;0;0;0;17901.77;"efectivo: $18.901,77";COMPLETED
V-2026-7687;"4/9/2026, 3:13:27 p. m.";Cajero;;37273.01;0;0;0;37273.01;"efectivo: $38.273,01";COMPLETED
V-2026-7686;"4/9/2026, 3:13:27 p. m.";Cajero;;21861.83;0;0;0;21861.83;"efectivo: $22.861,83";COMPLETED
V-2026-7685;"4/9/2026, 3:13:27 p. m.";Cajero;;304.63;0;0;0;304.63;"efectivo: $1.304,63";COMPLETED
V-2026-7684;"4/9/2026, 3:13:27 p. m.";Cajero;;48952.68;0;0;0;48952.68;"efectivo: $49.952,68";COMPLETED
V-2026-7683;"4/9/2026, 3:13:27 p. m.";Cajero;;42652.95;0;0;0;42652.95;"efectivo: $43.652,95";COMPLETED
V-2026-7682;"4/9/2026, 3:13:27 p. m.";Cajero;;38546.92;0;0;0;38546.92;"efectivo: $39.546,92";COMPLETED
V-2026-7681;"4/9/2026, 3:13:27 p. m.";Cajero;;34858.01;0;0;0;34858.01;"efectivo: $35.858,01";COMPLETED
V-2026-7680;"4/9/2026, 3:13:27 p. m.";Cajero;;38885.03;0;0;0;38885.03;"efectivo: $39.885,03";COMPLETED
V-2026-7679;"4/9/2026, 3:13:27 p. m.";Cajero;;21137.53;0;0;0;21137.53;"efectivo: $22.137,53";COMPLETED
V-2026-7678;"4/9/2026, 3:13:27 p. m.";Cajero;;40361.68;0;0;0;40361.68;"efectivo: $41.361,68";COMPLETED
V-2026-7677;"4/9/2026, 3:13:27 p. m.";Cajero;;68922.02;0;0;0;68922.02;"efectivo: $69.922,02";COMPLETED
V-2026-7676;"4/9/2026, 3:13:27 p. m.";Cajero;;31172.11;0;0;0;31172.11;"efectivo: $32.172,11";COMPLETED
V-2026-7675;"4/9/2026, 3:13:27 p. m.";Cajero;;30806.45;0;0;0;30806.45;"efectivo: $31.806,45";COMPLETED
V-2026-7674;"4/9/2026, 3:13:27 p. m.";Cajero;;38097.99;0;0;0;38097.99;"efectivo: $39.097,99";COMPLETED
V-2026-7673;"4/9/2026, 3:13:27 p. m.";Cajero;;53465.97;0;0;0;53465.97;"efectivo: $54.465,97";COMPLETED
V-2026-7672;"4/9/2026, 3:13:27 p. m.";Cajero;;35161.48;0;0;0;35161.48;"efectivo: $36.161,48";COMPLETED
V-2026-7671;"4/9/2026, 3:13:27 p. m.";Cajero;;6893.04;0;0;0;6893.04;"efectivo: $7.893,04";COMPLETED
V-2026-7670;"4/9/2026, 3:13:27 p. m.";Cajero;;60407.35;0;0;0;60407.35;"efectivo: $61.407,35";COMPLETED
V-2026-7669;"4/9/2026, 3:13:27 p. m.";Cajero;;88695.12;0;0;0;88695.12;"efectivo: $89.695,12";COMPLETED
V-2026-7668;"4/9/2026, 3:13:27 p. m.";Cajero;;52961.89;0;0;0;52961.89;"efectivo: $53.961,89";COMPLETED
V-2026-7667;"4/9/2026, 3:13:27 p. m.";Cajero;;54820.84;0;0;0;54820.84;"efectivo: $55.820,84";COMPLETED
V-2026-7666;"4/9/2026, 3:13:27 p. m.";Cajero;;20203.5;0;0;0;20203.5;"efectivo: $21.203,5";COMPLETED
V-2026-7665;"4/9/2026, 3:13:27 p. m.";Cajero;;16935.21;0;0;0;16935.21;"efectivo: $17.935,21";COMPLETED
V-2026-7664;"4/9/2026, 3:13:27 p. m.";Cajero;;44680.77;0;0;0;44680.77;"efectivo: $45.680,77";COMPLETED
V-2026-7663;"4/9/2026, 3:13:27 p. m.";Cajero;;35112.55;0;0;0;35112.55;"efectivo: $36.112,55";COMPLETED
V-2026-7662;"4/9/2026, 3:13:27 p. m.";Cajero;;30832.22;0;0;0;30832.22;"efectivo: $31.832,22";COMPLETED
V-2026-7661;"4/9/2026, 3:13:27 p. m.";Cajero;;45306.86;0;0;0;45306.86;"efectivo: $46.306,86";COMPLETED
V-2026-7660;"4/9/2026, 3:13:27 p. m.";Cajero;;35767.34;0;0;0;35767.34;"efectivo: $36.767,34";COMPLETED
V-2026-7659;"4/9/2026, 3:13:27 p. m.";Cajero;;46262.27;0;0;0;46262.27;"efectivo: $47.262,27";COMPLETED
V-2026-7658;"4/9/2026, 3:13:27 p. m.";Cajero;;17848.76;0;0;0;17848.76;"efectivo: $18.848,76";COMPLETED
V-2026-7657;"4/9/2026, 3:13:27 p. m.";Cajero;;64132.37;0;0;0;64132.37;"efectivo: $65.132,37";COMPLETED
V-2026-7656;"4/9/2026, 3:13:27 p. m.";Cajero;;22398.22;0;0;0;22398.22;"efectivo: $23.398,22";COMPLETED
V-2026-7655;"4/9/2026, 3:13:27 p. m.";Cajero;;21174.8;0;0;0;21174.8;"efectivo: $22.174,8";COMPLETED
V-2026-7654;"4/9/2026, 3:13:27 p. m.";Cajero;;44370.99;0;0;0;44370.99;"efectivo: $45.370,99";COMPLETED
V-2026-7653;"4/9/2026, 3:13:27 p. m.";Cajero;;99151.85;0;0;0;99151.85;"efectivo: $100.151,85";COMPLETED
V-2026-7652;"4/9/2026, 3:13:27 p. m.";Cajero;;19134.7;0;0;0;19134.7;"efectivo: $20.134,7";COMPLETED
V-2026-7651;"4/9/2026, 3:13:27 p. m.";Cajero;;33579.45;0;0;0;33579.45;"efectivo: $34.579,45";COMPLETED
V-2026-7650;"4/9/2026, 3:13:27 p. m.";Cajero;;10072;0;0;0;10072;efectivo: $11.072;COMPLETED
V-2026-7649;"4/9/2026, 3:13:27 p. m.";Cajero;;48377.68;0;0;0;48377.68;"efectivo: $49.377,68";COMPLETED
V-2026-7648;"4/9/2026, 3:13:27 p. m.";Cajero;;9378.27;0;0;0;9378.27;"efectivo: $10.378,27";COMPLETED
V-2026-7647;"4/9/2026, 3:13:27 p. m.";Cajero;;32188.22;0;0;0;32188.22;"efectivo: $33.188,22";COMPLETED
V-2026-7646;"4/9/2026, 3:13:27 p. m.";Cajero;;11873.14;0;0;0;11873.14;"efectivo: $12.873,14";COMPLETED
V-2026-7645;"4/9/2026, 3:13:27 p. m.";Cajero;;14140.55;0;0;0;14140.55;"efectivo: $15.140,55";COMPLETED
V-2026-7644;"4/9/2026, 3:13:27 p. m.";Cajero;;37453.92;0;0;0;37453.92;"efectivo: $38.453,92";COMPLETED
V-2026-7643;"4/9/2026, 3:13:27 p. m.";Cajero;;46067.97;0;0;0;46067.97;"efectivo: $47.067,97";COMPLETED
V-2026-7642;"4/9/2026, 3:13:27 p. m.";Cajero;;65238.27;0;0;0;65238.27;"efectivo: $66.238,27";COMPLETED
V-2026-7641;"4/9/2026, 3:13:27 p. m.";Cajero;;23853.99;0;0;0;23853.99;"efectivo: $24.853,99";COMPLETED
V-2026-7640;"4/9/2026, 3:13:26 p. m.";Cajero;;7172.06;0;0;0;7172.06;"efectivo: $8.172,06";COMPLETED
V-2026-7639;"4/9/2026, 3:13:26 p. m.";Cajero;;7849.53;0;0;0;7849.53;"efectivo: $8.849,53";COMPLETED
V-2026-7638;"4/9/2026, 3:13:26 p. m.";Cajero;;31656.98;0;0;0;31656.98;"efectivo: $32.656,98";COMPLETED
V-2026-7637;"4/9/2026, 3:13:26 p. m.";Cajero;;38885.03;0;0;0;38885.03;"efectivo: $39.885,03";COMPLETED
V-2026-7636;"4/9/2026, 3:13:26 p. m.";Cajero;;49183.74;0;0;0;49183.74;"efectivo: $50.183,74";COMPLETED
V-2026-7635;"4/9/2026, 3:13:26 p. m.";Cajero;;30146.3;0;0;0;30146.3;"efectivo: $31.146,3";COMPLETED
V-2026-7634;"4/9/2026, 3:13:26 p. m.";Cajero;;83680.25;0;0;0;83680.25;"efectivo: $84.680,25";COMPLETED
V-2026-7633;"4/9/2026, 3:13:26 p. m.";Cajero;;44373.41;0;0;0;44373.41;"efectivo: $45.373,41";COMPLETED
V-2026-7632;"4/9/2026, 3:13:26 p. m.";Cajero;;19899.24;0;0;0;19899.24;"efectivo: $20.899,24";COMPLETED
V-2026-7631;"4/9/2026, 3:13:26 p. m.";Cajero;;43144.77;0;0;0;43144.77;"efectivo: $44.144,77";COMPLETED
V-2026-7630;"4/9/2026, 3:13:26 p. m.";Cajero;;36765.28;0;0;0;36765.28;"efectivo: $37.765,28";COMPLETED
V-2026-7629;"4/9/2026, 3:13:26 p. m.";Cajero;;18888.26;0;0;0;18888.26;"efectivo: $19.888,26";COMPLETED
V-2026-7628;"4/9/2026, 3:13:26 p. m.";Cajero;;32191.42;0;0;0;32191.42;"efectivo: $33.191,42";COMPLETED
